ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,179546070,"Luật Hấp Dẫn - Quy Luật Về Sức Mạnh Của Linh Hồn Và Năng Lượng Chữa Lành Cơ Thể Từ Bên Trong",85900,129000,43100,33
TIKI,nha-sach-tiki,540040,"Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm file MP3)",119000,158000,39000,25
TIKI,nha-sach-tiki,194960244,"Fullmetal Alchemist - Cang Giả Kim Thuật Sư - Fullmetal Edition - Tập 16",63000,69000,6000,9
TIKI,nha-sach-tiki,196515668,"Quán Rượu Dị Giới "Nobu" - Tập 11",35000,40000,5000,13
TIKI,nha-sach-tiki,11368965,"Combo Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm 1 MP3) và Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm 1 MP3) ( Tặng Kèm Viết )",284800,356000,71200,20
TIKI,nha-sach-tiki,130233544,"Mèo Và Triết Lý Nhân Sinh - Mèo Đã Dạy Chúng Ta Điều Gì Về Cuộc Sống",145500,209000,63500,30
TIKI,nha-sach-tiki,66090079,"Cơ Thể Tự Chữa Lành: Giải Cứu Gan",161000,250000,89000,36
TIKI,nha-sach-tiki,21130350,"Vụ Án LEROUGE (Trinh Thám)",79000,168000,89000,53
TIKI,nha-sach-tiki,102629318,"999 Lá Thư Gửi Cho Chính Mình (*) - Tập 1 - Mong Bạn Trở Thành Phiên Bản Hoàn Hảo Nhất (Tái bản)",92400,129000,36600,28
TIKI,nha-sach-tiki,145288026,"Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường",149000,200000,51000,26
TIKI,nha-sach-tiki,828621,"Dolocher (Trinh Thám)",44000,159000,115000,72
TIKI,nha-sach-tiki,56692532,"Tôi Từng Nghĩ Mọi Thứ Sẽ Ổn Khi Trở Thành Người Lớn (Tặng Kèm 1 Bookmark)",66500,96000,29500,31
TIKI,nha-sach-tiki,193434490,"Ikigami - Tập 07",32000,45000,13000,29
